title,year,rating,plot,summary
E.T. the Extra-Terrestrial,1982,7.9,A troubled child summons the courage to help a friendly alien escape from Earth and return to his home planet.,"The classic of family classics, 'E.T.' is a wonderful and heartfelt portrait of childhood exploring the friendship between Elliot, a young boy living in California, and an extra-terrestrial who gets accidentally left behind by his spaceship. From the multiple viewings during my childhood to the nostalgic sense of warmth I get from watching it nowadays, there is no way I can fault this science fiction masterpiece. One of Spielberg's greatest films, 'E.T.' is a compassionate and emotionally-driven tale packed with clever storytelling, bold direction and state-of-the-art visual effects.. oh and it also features one of the most iconic images in cinema history. A remarkable adventure that acts as both a touching family drama and an exciting sci-fi flick, and one that needs to be seen by all."
The Peacemaker,1997,6.0,A US Army colonel and a civilian woman supervising him must track down stolen Russian nuclear weapons before they're used by terrorists.,"A US Army colonel (George Clooney) and a civilian woman (Nicole Kidman) supervising him must track down stolen Russian nuclear weapons before they are used by terrorists.My biggest problem with this film is that it seemed to me to be miscast. George Clooney is pretty good, and he plays the smarmy role he is great at doing (the modern day Cary Grant). Nicole Kidman seems off, though. The role never seems to fit her, and there never seems to be a clear understanding of who she is: bumbling, nervous librarian? Or assertive world-class diplomat? Not surprisingly, the movie has sort of faded into obscurity, and will probably continue to do so as time goes on."
50 First Dates,2004,6.8,Henry Roth is a man afraid of commitment until he meets the beautiful Lucy. They hit it off and Henry think he's finally found the girl of his dreams until discovering she has short-term memory loss and forgets him the next day.,"The basic storyline of 50 First Dates: Henry Roth lives in Hawaii and spend his time wooing women who are visiting the island, simply because there is little chance of commitment. Then he meets Lucy Whitmore. One day they hit it off, and the next she doesn't even recognise him. It turns out that she suffers from short-term memory loss, and every day he tries to win her over once more. Firstly, I have to say that 50 First Dates is a really funny film. It isn't overly stupid, but it's not subtle either. But underneath the humour is where I believe this film's true beauty lies. It shows love in a way that I have never seen in another film before. From the way that her family sacrifices everything to keep her happy, and blissfully unaware of her condition, to Henry who, despite the fact that he could have just about any woman that he wanted, decides that he wants to be with Lucy, regardless of the fact that he has to meet her for the first time every day. Henry's character undergoes somewhat of a transformation in front of our eyes. The film starts off with him coming across as somewhat of a pig (well, to us women anyway :)), and by the end of the film, we truly admire him. He even sacrifices his dream so that he can be with Lucy, and help her to move on with her life. The film isn't really predictable, either. For example, I spent the entire films assuming that the ending would be somewhat different. Although romcoms almost always have happy endings, this one damn near had me in tears. And it wasn't even sad. I never knew what a feel-good film was until I saw this...highly recommended."
Vicky Cristina Barcelona,2008,7.1,"Two friends on a summer holiday in Spain become enamored with the same painter, unaware that his ex-wife, with whom he has a tempestuous relationship, is about to re-enter the picture.","On vacation in Spain two American girlfriends meet a tall, dark and handsome artist who satisfies their needs in unexpected ways.A curious little romance that putters along until about the halfway mark, when the introduction of a new character adds some tension and darkness. The sensibility is middle class - safe and responsible - so nothing really dramatic is promised and the story resolves on a minor note: not too comfortable, restrained in emotion.The performances are good, particularly from the ex-wife. Locations are idyllic. Music is gorgeous. Only complaint is the odd voice-over of the narrator, which lords it over the story and is very much tell-don't-show.Overall: fairly interesting, fairly engaging."
Meet the Fockers,2004,6.4,All hell breaks loose when the Byrnes family meets the Focker family for the first time.,"Meet the Fockers is not quite as good as its predecessor, but it is still very enjoyable with some brilliant cast additions that make for great comedy.Everything that was brilliant about the style of Meet the Parents is replicated in this sequel to great effect. Ben Stiller and De Niro are on fine form as expected, and the addition of Dustin Hoffman and Barbara Streisand is inspired. They were so fantastic and their characters so well written.The plot is fun, although it feels slightly less fresh than Meet the Parent. This is my only real criticism. Some plot elements felt a bit repetitive of the first film. I mean there's only so much that can go wrong for this poor guy right?Overall a very solid and enjoyable comedy sequel. A worthy successor to Meet the Parents."
Lethal Weapon 4,1998,6.6,"With personal crises and age weighing in on them, LAPD officers Riggs and Murtaugh must contend with deadly Chinese triads that are trying to free their former leaders out of prison and onto American soil.","Lethal Weapon 4 starts out with a boring and ridiculous beginning. I remember watching it the first time and thinking, ""oh no, another bad sequel.""However, once past the first ten minutes, the film starts to pick up its pace and retreat into familiar Lethal Weapon style.Just like film 2 and 3, Lethal Weapon 4 isn't as good as the original, but it never gets to the point of unbearable. It is quite entertaining and fun to watch, with some very great actors, that have some very great chemistry between each other.Mel Gibson and Danny Glover fit like a glove, and Joe Pesci is perfect as the comedy relief, not being like the recent ""side kicks"" we always see, that are so obnoxious we want to punch them. Mr. Pesci is a very talented actor, and he always makes me laugh, whether it's Lethal Weapon 4 or Raging Bull and Casino.Rene Russo provides Mel's love interest yet again, and though I found the marriage thing a bit of a throw-in, it was still good for the story. It provided some laughs at the end of the film.Chris Rock stars in one role where his character is not completely annoying or loudmouthed, mainly because he wasn't extremely famous yet, and had only been on SNL and a few small roles in film... Joes Pesci and him throw back and forth a few insults and jokes, and bounce off each other, which helps me welcom Rock a bit more.Jet Li's first American film, I believe, proves he can be a quite and intriguing character, which later helped him get roles in films like Kiss of the Dragon and The One.Another thing about this franchise is that director Richard Donner directed all four films, and it's always good to use the original director for a sequel, rather than a lesser director, as we have countless examples of. (especially horror films!)From the opening jazz music we have come to love, Lethal Weapon provides enough entertainment and fun to keep one entertained, and it's definitely worth watching. I hope they stop while they're ahead, and do not make another Lethal Weapon film, because it's rare for a film series to still be entertaining and imaginative after these many sequels. 3/5 stars-"
No Reservations,2007,6.3,The life of a top chef changes when she becomes the guardian of her young niece.,"Very likable even for a formula romcom, mainly because of the terrific casting and performances of the actors.The forever beautiful and talented Catherine Zeta-Jones (Chicago, The Mask of Zorro) is spot on as Kate, a workaholic chef at hoity toity 22 Bleeker. Kate unexpectedly inherits her niece Zoe, played tremendously well by Abigail Breslin (Little Miss Sunshine). Real-life motherhood must have enabled Zeta-Jones to show her softer side with the restraint her character called for.Aaron Eckhart (Thank You for Smoking, Black Dahlia) is Nick, the Italian-trained, opera-singing, charismatic new chef who invades Kate's precision-perfect French kitchen. Nick is Kate's quintessential opposite and eventually helps her sort out her trust issues and even enhances her parenting skills.It is refreshing to see CZJ back on the silver screen where she belongs, and playing a non-glamorous character for once, even sans makeup in some scenes. At 38 years old, that is a brave feat indeed (and this courage is consistent with all the flawed characters she likes to play).Her on screen chemistry with Eckhart is positively sizzling, and his cockiness to her coolness effectively makes you forget about the trite plot. While Zeta-Jones has also been criticized for being too beautiful for the role of a lonely chef, that is actually one of the ironies of life that this movie uncovers: beauty and talent doesn't really guarantee bliss.Despite the awful MTV-like montage of the trio grocery shopping and the rest of the unspectacular elements, overall, the movie makes you feel for the characters. You leave the cinema all warm and fuzzy, and that makes the execution of No Reservations a success."
Milk,2008,7.5,"The story of American gay activist Harvey Milk, who fought for gay rights and was elected as California's first openly gay official.","Gus Van Sant's talent and humility allows Harvey Milk to be a the center of this remarkable story without putting himself in front of the camera. Sean Penn shines with a new and extraordinary light as Harvey Milk. His humanity is overwhelming at times. That permanent smile defining his face talks volumes about his faith in people, no matter what. His awareness is filled with truth and innocence, he worries he's about to be 40 and hasn't accomplished anything. Little did he know.The film is constructed brilliantly in a series of vignettes that builds up into a whole fluid narrative. Josh Brolin, as the disturbed Dan White is another standout in a complex and remarkable performance. No cheap shots here. Diego Luna, Joseph Cross and Emile Hirsch are also terrific as the boys around Harvey but it is James Franco who truly gets under your skin. His romantic turn is one of the most compelling gay love stories I've ever seen (and I've seen Brokeback Mountain). Highly recommended!"
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,6.3,"Lucy and Edmund Pevensie return to Narnia with their cousin Eustace where they meet up with Prince Caspian for a trip across the sea aboard the royal ship The Dawn Treader. Along the way they encounter dragons, dwarves, merfolk, and a band of lost warriors before reaching the edge of the world.","I was SO looking forward to the Voyage of the Dawn Treader, and was sorely disappointed.The film felt like they took the original story, chopped it up, then threw it in a blender with seven magical swords and some ridiculous green mist!While the film stayed true to main themes of the story, much of the character development and purpose to each of the minor island stories was lost. Unfortunately this meant that most of the magic of the story was lost as well.I gave the film 6 stars due to the redeeming qualities that were the stunning visuals, some excellent acting (notably by Will Poulter as Eustace), and a beautifully executed final scene.If you haven't read the book, then you may enjoy this film immensely, but if you are a true Narnia fan, don't go in with very high expectations."
Team America: World Police,2004,7.2,"Popular Broadway actor Gary Johnston is recruited by the elite counter-terrorism organization Team America: World Police. As the world begins to crumble around him, he must battle with terrorists, celebrities and falling in love.","I'm sure plenty of parochial critics will berate this film for anti-American values during the current ""war on terror""....BUT...the great thing about this film is that no one is spared being mocked. This bears the standard of a great film by expressing the ironies innate in every argument in this quasi-political tale; from socialist Michael Moore, fashionably charitable celebrities to the terrorists and the, ahem ""world police."" This couldn't be more accurately summed up than in one of the funniest ever analogies that is employed in this film; the ""Dic*s, P*ssies, and a*s*holes, argument."" This film also wonderfully parodies the standard conventions and cliché's of the action film genre to create an entertaining, and gleefully controversial film."
The Rum Diary,2011,6.1,American journalist Paul Kemp takes on a freelance job in Puerto Rico for a local newspaper during the 1960s and struggles to find a balance between island culture and the expatriates who live there.,"Plot Summary Now if your the sort of person that needs a definitive story line and thick plot to enjoy a film then this probably isn't for you. Its more a 'fly on the wall' view of a young journalists struggles in a failing newspaper. Paul Kemp(Depp) is a young man trying to make his way in a new place, making new friends and enemy's along the way.What I thought of it I wasn't sure what I would think of this film, I new it has some great actors, such as Johnny Depp and Giovanni Ribisi, but the concept of the film was a strange one. I was pleasantly surprised, the director Bruce Robinson has done a great job with this film, which was always going to be a very tough job being adapted from a novel by Hunter S Thompson and technically having next to no strong plot.The film itself is stunning, the locations are amazing and well shot, and the editing style and shots work brilliantly with the type of film and more importantly with Johnny Depp, who has a massive screen presence in everything he does, including 'The Rum Diary'.This film has everything I want to see in a good movie, strong characters, great sets and brilliant comedy, along with meaning. It really makes you think about society and life nowadays and how primarily, nothing has changed in the way the world goes round and the sort of corruption and manipulation that still goes on today all around us, as it did back in the fifties, only less obviously.On a lighter note, this film is hilarious and great to watch more than once, there is something rather satisfying about watch a man drink huge amounts of high octane rum and have to deal with the consequences the next morning, something that makes you happy its not only you.Summary In all I thought this was a very enjoyable film for anyone to watch and have a good laugh at while loving everything about the characters. The acting is scintillating and exciting.I highly recommend this film to all, one to watch ..... 7/10 Stars*"
Apocalypse Now,1979,8.4,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,"Reviewers say 'Apocalypse Now' is acclaimed for its stunning visuals, strong performances, and deep psychological insights. Martin Sheen and Marlon Brando deliver unforgettable roles. Its depiction of war's chaos and horror is often lauded. Yet, some critics find the script and narrative lacking, with unclear direction and pacing issues. Despite these flaws, it stands as a significant cinematic achievement."
Starsky,2004,6.1,"Two streetwise cops bust criminals in their red and white Ford Gran Torino, with the help of a police snitch called ""Huggy Bear"".","Hand on heart I did not want to watch this film. Although I grew up with the TV series and really enjoyed it, when the film was released I have to say that I was not keen, I can not put my finger on why, perhaps it was Stiller, who, Something About Mary apart, has never really done it for me. But what ever the reason, it remained unveiwed.That was 2004 - Xmas 2006 and I get DVD vouchers, so In the January sales off I go to see what I can get, I do quite well, but have £3 remaining, I have 2 or 3 to chose from 2 I have already seen, and Starsky & Hutch.....So I bought it.......yet still it was unwatched until yesterday.......hungover and feeling a little lazy I needed something to pass the time that was easy to watch, funny, and not too taxing.....so on it goes.How surprised was I then when after only a few minutes I was giggling away. Stiller was actually entertaining and I was enjoying watching him, Mr Wilson was very good and I got the vibe that the characters gelled as the ones in the TV series did. Vaughan was a good baddie, and Snoop was hight entertaining if not as camp Huggy Bear! All in all this is a good solid comedy film, not brilliant don't get me wrong, but worth a watch."
Red,2010,7.0,"When his peaceful life is threatened by a high-tech assassin, former black-ops agent Frank Moses reassembles his old team in a last-ditch effort to survive and uncover the assailants.","When I first saw the trailer for The Expendables, I was already thinking of the interesting and funny relationship between the characters played by those action icons. After a zillion trailers and a movie, I was sourly disappointed. Now, I don't know who's fault it is, but relative to The Expandables, I almost haven't heard of Red before its release. However, it was exactly what I was looking for.You have a great team of actors. They are not even action heroes, maybe that did it, but they do a great job. just look at that cast: Bruce Willis, John Malkovich, Morgan Freeman, Brian Cox, Hellen Mirren, Richard Dreyfuss, even Ernest Borgnine! As the young(er) crew, Karl Urban and Mary-Louise Parker are in it and they both play well. But more than that, each character actually has a role. They don't just come in, say a few inconsequential things, then die or are completely forgotten *cough* James Remar *cough*.So it had the ridiculously packed action and at times it looked and sounded like Ocean's Eleven, who cares? The rest was great! Even the fight scenes... not even the bad guys go out in full view firing wildly then getting shot. People actually took cover, helped each other and synchronized their moves. The lines were funny and somewhat complex and all the people on the set were clearly having fun doing what they loved.Bottom line: I don't know, maybe because the director is unseasoned in the ways of Hollywood the movie turned out to be so good. Or maybe it was the cast. Or maybe it was the fun of it. The movie turned out great, with a few screw-ups that I am ready to ignore. The mash-up is Jason Bourne meets The Expendables via, luckily for us, just a pinch of Ocean's Eleven."
The Social Network,2010,7.8,"As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea and by the co-founder who was later squeezed out of the business.","Reviewers say 'The Social Network' delves into greed, betrayal, and social media's impact on relationships. The film is lauded for its sharp dialogue, strong performances, and David Fincher's stylish direction. Jesse Eisenberg's portrayal of Mark Zuckerberg is particularly acclaimed. However, some find the characters unlikable and the focus on legal battles detracts from character development. The atmospheric score by Trent Reznor and Atticus Ross is highly praised. Overall, it's a thought-provoking, well-crafted film capturing its era."
Twilight,2008,5.3,"When Bella Swan moves to a small town in the Pacific Northwest, she falls in love with Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire.","Reviewers say 'Twilight' is a divisive film with mixed reactions. Many commend the romantic chemistry between Bella and Edward, the atmospheric setting, and the soundtrack. However, criticisms include subpar acting, especially from Kristen Stewart and Robert Pattinson, and the film's failure to capture the book's essence. The special effects are often deemed inadequate, and the pacing is criticized for being rushed. Some find the characters underdeveloped and the dialogue awkward. Despite these flaws, it has a dedicated fanbase valuing its nostalgic and unique blend of romance and supernatural elements."
X-Men Origins: Wolverine,2009,6.5,"The early years of James Logan, featuring his rivalry with his brother Victor Creed, his service in the special forces team Weapon X, and his experimentation into the metal-lined mutant Wolverine.","Reviewers say 'X-Men Origins: Wolverine' is lauded for its action scenes, Hugh Jackman's performance, and Liev Schreiber's compelling portrayal of Sabretooth. Yet, it is criticized for a hurried storyline, shallow character development, and straying from comic book roots. The film's treatment of beloved characters like Deadpool and Gambit disappoints fans. Despite these issues, its visual effects and the dynamic between the lead actors are appreciated, making it a divisive yet entertaining entry in the franchise."
Zorba the Greek,1964,7.6,A reserved English writer travelling to Crete on a matter of business finds his life changed forever when he meets the gregarious Alexis Zorba.,"What an exuberant film - not to be missed! It chronicles sadness and joy so beautifully that one can't help but want to weep, laugh, and dance along. There are four wonderful performances, led by Anthony Quinn, whose enthusiam for life almost leaps from the screen, giving rise to an almost sacrilegious thought: How could Rex Harrison's stuffy, embalmed Professor Henry Higgins have won the Best Actor Oscar over Quinn as Zorba? Lila Kedrova is heartbreaking as Madame Hortense, the dying prostitute with a colorful past. The always-enjoyable Alan Bates, and the striking Irene Papas as the Widow. Like Anna Magnani, Papas was an actress who transcended any language barrier, who didn't need dialogue at all - her face and body said everything she needed to.For the most part the film looks great on DVD, with crisp, clear black-and-white photography. But I have one quibble: the transfer seems to have been made from the same source as the videotape prints in circulation, because there are a couple of instances of obvious post-production looping (possibly for prime-time television broadcasts), changing 'goddam' to 'old damn,' for instance - they even do this in the English subtitles. But read Quinn's lips - there's no mistaking what the original lines were! I'd expected that the original unedited soundtrack would have been restored."
Wedding Crashers,2005,7.0,"John Beckwith and Jeremy Grey, a pair of committed womanizers who sneak into weddings to take advantage of the romantic tinge in the air, find themselves at odds with one another when John meets and falls for Claire Cleary.","John Beckwith (Owen Wilson) and Jeremy Grey (Vince Vaughn) are life-long friends who have made a hobby out of lying to get into wedding receptions, where they pick up vulnerable women with even more lies. Their plans to crash the upscale wedding of a high-profile politician (Christopher Walken) go awry when John falls in love with the politician's daughter (Rachel McAdams) and the two guys end up spending the weekend with her familywho just happen to be completely nuts!Wedding Crashers is easily the funniest film of 2005. It's constantly hilarious and it's not completely immature. The premise is pretty creative and original. The film is not just filled with cheap jokes and toilet humor. There's actually a pretty mature love story to be found here as well. In all honestly, the script isn't that great but the film works really well because of the cast. The actors bring life into their characters and most of them give funny performances. Vince Vaughn is the true star of Wedding Crashers. His over the top performance is very funny. Some people may find him annoying though. Owen Wilson also gives a funny performance. He just wasn't as good as Vince but he holds his own. Together, Vaughn and Wilson have great chemistry and really make their scenes with one another really funny.Rachel McAdams is one of the best young actresses working today. She appeared in three movies in 2005 and this one was the best. Her performance is pretty good and it's so easy to love this girl. Christopher Walken does his usual routine and he gives an okay performance. He isn't as funny as everyone else though. Isla Fisher is also another talented young actress. She comes out of no where and gives a very funny performance. Jane Seymour is underused which is too bad because she's pretty funny. Bradley Cooper was okay, nothing really special though. Not all of the film is perfect. I think the running time is too long. Long comedies rarely work out and while this one does, it could have still been edited. Also, the ending is kind of cheesy which is okay but a little unexpected. Will Ferrell makes a cameo and let's just say that it was not needed. It wasn't completely bad but he seemed to be trying way too hard. I really think that he's just an average comedian and nothing really special. One last thing, the film is pretty funny yet it doesn't have that great of a repeat value, at least for me. In the end, Wedding Crashers is worth checking out. Rating 8/10"
The Naked Gun 2½: The Smell of Fear,1991,6.9,Lieutenant Frank Drebin discovers that his ex-girlfriend's new beau is involved in a plot to kidnap a scientist who advocates solar energy.,"Reviewers say 'The Naked Gun 2½: The Smell of Fear' is a hilarious sequel with slapstick comedy, clever puns, and absurd situations. Leslie Nielsen's impeccable comedic timing as Lt. Frank Drebin is highlighted, along with strong performances from Priscilla Presley and George Kennedy. The film addresses environmentalism and political satire, targeting energy policies and political figures. While some find the humor less fresh than the original, it is generally seen as a fun and entertaining follow-up."
Little Fockers,2010,5.5,"Family-patriarch Jack Byrnes wants to appoint a successor. Does his son-in-law, the male nurse Greg Focker, have what it takes?","If it was a movie with intentions of being forever remembered and awarded with Oscars I would rate it 2/10 of course, but knowing it has been made for laughing, then it's a 7. I did laugh quite a bit, but it's not an 8 or 9 because some jokes are not my kind of humor or it's the same jokes as the previous movies in the series (with the last name and so on). Also, the plot is dull, like always, things don't work out for Greg and blah blah.The positive: Some fresh jokes, Good acting, Laughs are guaranteed.The negative: DeNiro while showing great character adaptation, I miss him in more serious movies. Some jokes are old, Same formula.So, to sum it up: Just go see it if you want to laugh, don't expect to be a great movie.PS. Jessica Alba looks great in the movie, but the character is tedious."
Underworld: Evolution,2006,6.7,"Picking up directly from the previous movie, vampire warrior Selene and the half werewolf Michael hunt for clues to reveal the history of their races and the war between them.","This original and gore-soaked vampires film begins in 1202 a.d., eight centuries ago. Unknown to humanity, a blood feud raged between a ruling class of vampires and rebellious legion of werewolves known as Lycans. Legend tells that the war began with two brothers, the immortal sons of Alexander Corvinus(Derek Jacobi). Marcus(Tony Curran) bitten by bat became the blood leader of the vampires. William(Brian Steele) , bitten by wolf became the first and most powerful Lycan. For six centuries Selene(Kate Beckinsale) was a loyal soldier of the vampire clan, but she was betrayed. The war was not as it had seemed. In one night, the lies that had united the kind vampire had been exposed. Kraven, the second-in-command had formed a secret alliance with Lucian, ruler of the werewolf clan to overthrow Viktor(Bill Nighy), vampires leader . But Kraven's lust for power and domination had failed. But Viktor was not the savior they had been led to believe. He has betrayed them all. Soon the hunt would be on for his killer. Selene has but one ally left : Michael(Scott Speedman), the human descendant of Corvinus. Neither vampire nor Lycan, but a hybrid. It's only a matter of time before they're found. Their only hope now is to awaken to Markus , the last remaining Elder and expose the truth, before Kraven tries to murder him while he's still in hibernation. Kraven knows he's match for him awake. Meanwhile, Selene and Michael are going to Tanis's(Steven Mackintosh) fortress for getting information. As the war between vampires and werewolves get more personal and deadly , they decide to launch a full-scale attack on the hideout in order to extinguish the race.This exciting movie displays unstopped action, thrills ride, spectacular fighting, graphic violence, brief nudism with mild sex scene and is pretty entertaining. Packs large amount of guts and gore , there's a huge body count, this one actually knocks off an immense amount, several vampires and werewolves are staked bloodily in the chest, even more impaled with large claws. There's really savage decapitation, plenty of bodies ripped in scraps and half, including some of the most tears ever, that spill lots of blood and numerous get shot up with bullets. Most of vampires, Lycans and humans victims are relegated to being bitten in the throat and neck. Magnificent special and visual effects as well as excellent make-up department. Bone-chilling and atmospheric musical score by Marco Beltrani and colorful and dark cinematography by Simon Duggan . Spectacular production design by Patrick Tatopoulos. He's author of set design and production design of known blockbusters, such as 10.000 BC, Indepencence day, I robot, Resident evil, Pith black among them. The motion picture is well directed by Len Wiseman, Kate Beckinsale's husband . He's also the screenwriter along with Danny McBride and Kevin Grevioux. All participate in the following, a prequel in pre-production, titled 'Rise of the Lycans' directed by Patrick Tatopoulos and with similar actors. Recommended to those who amuse those kind of vampires-werewolves films or those enjoy in general."
Next,2007,6.2,A Las Vegas magician who can see into the future is pursued by FBI agents seeking to use his abilities to prevent a nuclear terrorist attack.,"""Next"" comes from a story written by Philip K. Dick, like many clever film titles in the last thirty years. Once again, he takes a simple idea--an alternate reality, if you will--and creates with it an engaging drama.The film involves a variation on time travel. More correctly, it involves multiple realities/universes. Nicholas Cage plays Chris Johnson aka Frank Cadillac, a small-time Las Vegas magician who makes his real money at the gaming tables. He has a special talent: he can look two minutes into his future to see the outcomes of his various potential actions.This talent has put him in the cross hairs of the FBI and others. The feds (especially the team lead by a special agent played by Julianne Moore) want him to help them thwart the nefarious plans of terrorists. But Chris has suffered enough prodding at the hands of the authorities during his life.The narrative has fun with the idea of multiple realities, often fooling the viewer. Amidst the chase scenes are numerous chances to question the boundaries of the magician's ""powers"". The special effects used to portray his options are enjoyable.The wild card is an attractive young woman named Liz Cooper (Jessica Biels) who enters his consciousness. Chris is drawn to this mysterious woman, especially since her presence seems to alter his abilities.I can't say Nicholas Cage would be my first choice for this role, but he plays it well enough. Jessica Biels is fun to watch and believable. Julianne Moore does a good job of riding the line between hard-nosed agent and considerate person.I feel sure some people will not like the ending. And those who prefer to detect plot holes rather than enjoy the ride may not find much enjoyment at all."
Analyze That,2002,5.9,"Mobster Paul Vitti is released into Dr. Ben Sobol's care, where only more chaos ensues.","As sequels go, this was above average. Which translates into a so-so+ movie. I gave it a 7 out of 10, instead of a 5 or a 6, because there ARE some great laughs in it. Although it pains me to say it, overall, as a movie, ""Analyze That"" was a bit flaccid, a bit pale, and certainly not as good as the original. It seemed tired and faded, somehow--- kind of like the recent ""Men in Black II"" sequel to MIB. However, if you are a Billy Crystal-hitting-old-age fan, and if you are a Robert DiNiro fan (and who isn't???--- and if you are gracious enough to be willing to be entertained for a couple of hours, go see it. You'll probably have a pleasant evening!"
The Holiday,2006,7.0,"Amanda lives in LA and is a movie trailer editor. Iris lives in Surrey and is a journalist. The two decide to swap houses for two weeks at Christmas - both trying to forget their troubled love lives, until love finds them anyways.","Iris Simpkins (Kate Winslet) is a pushover for her ex (Rufus Sewell) and she's blindsided by his engagement. Amanda Woods (Cameron Diaz) is tired of her cheating boyfriend (Edward Burns) and leaves her LA life for a few weeks. They use a vacation website to chat up a home exchange. During their vacation, they each fall for their own local guys.It's a double rom-com. Jack Black is trying to be a romantic lead. He and Winslet make an odd couple. She's absolutely charming. He's not himself, and Eli Wallach is better as the lead. Jude Law is a more conventional choice for a leading man. He and Diaz work well together.It's an unabashed chick flick. It does exactly what you expect it to do. It just does it twice. It explains the running time of over 2 hours. It's kinda corny and kinda formulaic, but it has its heart in the right place."
De Spiderwick kronieken,2008,6.5,"Upon moving into the run-down Spiderwick Estate with their mother, twin brothers Jared and Simon Grace, along with their sister Mallory, find themselves pulled into an alternate world full of faeries and other creatures.","This is another of those fantasy films that serves its purpose in that it entertains, no matter what the age. It's not among the elite in its genre, but it is a story that hooks you in by the 20-minute mark and you just go along for the ride, mainly to see how things will turn out.There is good suspense in here, enough to make adults care about what happens, not just kids. There also are some scary scenes that are probably too much for small kids, but fine for teens on up. In all, you get a good mix of horror, comedy, fantasy and drama all rolled into one odd (fantasy) story.Child acting star Freddie Highmore, who seems to get cast in a lot of these fantasies (Charlie And The Chocolate Family,"" ""August Rush,"" ""Arthur And The Invisibles,"" and ""The Golden Compass"") has a dual role in here, playing brothers ""Jared""and ""Simon Grace."" Freddie is a fine actor, so no problem in that department. I hate to hear child actors, using God's name as exclamations, though, but that's not Highmore's doing. The only other annoyance is the frequent shouting with an older sister. However, once the adventure kicks into high gear, the arguing stops as the kids try to solve their major dilemma as a unit.Nick Nolte plays the big villain, ""Mulgarath."" but his role is surprisingly small. It's all those ugly, nasty little creatures who surround the house, who are the ""bad guys."" There are a number of somewhat scary scenes involving them, enough to entertain the post-pre-adolescent crowd.The star of the film isn't Freddie or the actors, or the story.....it's the special-effects, which are very good and a lot of fun to watch, from little beings to monsters to fairies to whatever. I saw this on Blu-Ray and it really looks good. All of it is very colorful and entertaining to view, making this a film fun for both kids and adults."
Hitch,2005,6.6,A smooth-talking man falls for a hardened columnist while helping a shy accountant woo a beautiful heiress.,"I just really enjoyed this movie. I don't laugh out loud easily & this one did it. Kevin James was a riot. The humor wasn't silly and most of the characters were as real as people ever get in romcoms. The movie relied on relationship rather than sex, which is a huge plus for me."
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,6.9,"While playing, Lucy and her siblings find a wardrobe that lands them in a mystical place called Narnia. Here they realize that it was fated and they must now unite with Aslan to defeat an evil queen.","Reviewers say 'The Chronicles of Narnia: The Lion, the Witch and the Wardrobe' is lauded for its immersive fantasy world and standout performances, especially Tilda Swinton and Liam Neeson. Themes of courage and good triumphing over evil resonate, though some find the start slow and pacing rushed. CGI reliance and character depth are criticized, alongside the film's Christian themes. Battle scenes, though visually impressive, lack intensity for some viewers."
A Fish Called Wanda,1988,7.5,"In London, four very different people team up on a jewel heist, then try to double-cross one another for the loot, complicated by their efforts to fool the very proper barrister Archibald Leach.","To make a comedy that can be lauded with the comment 'absolutely hilarious' isn't an easy thing to do. It's not so difficult, however, when you are one of the funniest men on god's green earth; and the extremely talented John Cleese has certainly managed to write a fine piece of comedy here. Teaming up with Monty Python buddy Michael Palin and Ealing studios director Charles Crichton, these talented comedians have managed to create a film that is most certainly one of the funniest; laugh per minute and lasting hilarity when it's over, movies ever made. The plot is taken straight from the classic Ealing comedy era (no wonder it works so well) and it follows four crooks that have stolen a bunch of jewels and now decide to double cross one another to take the loot solely for themselves. The plot thickens when the female of the bunch decides that the best way to get the loot would be to get close to a grassed-up co-conspirator's barrister; John Cleese.Aside from an inch-perfect screenplay, A Fish Called Wanda also benefits from a fine cast of actors to deliver it. John Cleese steals every scene he's in, as you might expect, and he more than justifies his reputation as one of, maybe even the, finest British comedy actor ever. He is joined by a talented pair of Americans; Kevin Kline and Jamie Lee Curtis, along with, as mentioned, his fellow Python Michael Palin. Kline is certainly one of the most underrated actors working today, and his comic timing in this movie is right on the money. Makes you wonder how much better he could have been used over the years. ""Scream Queen"" Jamie Lee Curtis also does well in the title role; and Michael Palin obviously knows his way round a comedy script. The jokes in the film come thick and fast, and I can't think of a single one that didn't work. It's the big gags that are the real stand out of the movie, though, and one in particular that sees Kevin Kline trying to explain to Cleese's wife what he's doing in their home is absolutely priceless. I nearly fell of my chair laughing. This film is a must see."
